Year,Year_Rank,Song,Artist,Genre,Peak,danceability,energy,valence,tempo,duration_min,loudness,acousticness
1958,62,Treasure Of Your Love,Eileen Rodgers,Pop,26,0.494,0.479,0.535,97.8,2.85,-8.3,0.583
1958,63,Down The Aisle Of Love,The Quin-Tones,Pop,20,0.395,0.287,0.427,95.2,2.83,-13.7,0.764
1958,65,The World Outside,The Four Coins,Pop,21,0.308,0.308,0.164,78.3,2.85,-11.1,0.924
1958,66,A Letter To An Angel,Jimmy Clanton,R&B/Soul,25,0,0.287,0,0,2.91,-11,0.876
1958,67,Carol,Chuck Berry,R&B/Soul,18,0.637,0.852,0.789,157.3,2.81,-10.8,0.869
1958,69,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,Pop,15,0.564,0.816,0.567,92,3.59,-3.1,0.024
1958,70,If Dreams Came True,Pat Boone,Rock,12,0.31,0.122,0.342,83.2,2.71,-16.2,0.878
1958,72,Splish Splash,Bobby Darin,R&B/Soul,3,0.645,0.943,0.965,147.8,2.2,-1.5,0.385
1958,73,Lazy Summer Night,The Four Preps,Pop,21,0.374,0.201,0.36,65.6,2.25,-16.3,0.133
1958,74,Bimbombey,Jimmie Rodgers,Country,11,0.715,0.39,0.769,89.3,2.29,-11,0.498
1958,75,One Summer Night,The Danleers,Pop,16,0.421,0.356,0.514,98.4,2.22,-6.9,0.883
1958,77,I'll Remember Tonight,Pat Boone,Rock,34,0.251,0.28,0.637,135.7,2.2,-17.2,0.987
1958,78,Walking Along,The Diamonds,R&B/Soul,29,0.548,0.834,0.767,126,2.36,-7.3,0.763
1958,79,Smoke Gets In Your Eyes,The Platters,Rock,2,0.563,0.656,0.545,118.4,3.27,-7.2,0.021
1958,80,"Summertime, Summertime",The Jamies,Pop,26,0.74,0.911,0.876,115.8,3.44,-4.1,0.014
1958,81,A Certain Smile,Johnny Mathis,Pop,22,0.233,0.337,0.218,73.6,2.8,-10,0.854
1958,84,That Old Black Magic,Louis Prima And Keely Smith,Rock,18,0.486,0.832,0.714,177.2,2.41,-6.4,0.63
1958,85,Whole Lotta Loving,Fats Domino,R&B/Soul,10,0.648,0.814,0.927,92.4,1.67,-8,0.639
1958,89,With Your Love,Jack Scott,Rock,28,0.372,0.258,0.281,143.3,2.06,-12.2,0.933
1958,92,Over And Over,Bobby Day,R&B/Soul,41,0.638,0.55,0.559,80.2,2.39,-13.1,0.697
1958,93,Non Dimenticar (Don't Forget),Nat King Cole,Pop,45,0.314,0.215,0.245,85.6,2.82,-17,0.754
1958,94,Come Closer To Me (Acercate Mas),Nat King Cole,Pop,41,0.548,0.256,0.548,100.8,2.81,-14.5,0.823
1958,95,The Mocking Bird,The Four Lads,Pop,32,0.595,0.343,0.637,76.7,2.34,-16.6,0.719
1958,96,Yakety Yak,The Coasters,R&B/Soul,7,0.715,0.669,0.976,120.8,1.88,-9.5,0.705
1958,97,This Little Girl's Gone Rockin',Ruth Brown,R&B/Soul,24,0.653,0.747,0.887,96,1.8,-6.9,0.531
1958,99,The Blob,The Five Blobs,Pop,33,0.604,0.658,0.91,78.3,2.68,-7.3,0.305
1958,100,Mr. Success,Frank Sinatra,Pop,41,0.571,0.316,0.752,125.3,2.71,-12.9,0.216
1959,1,The Battle Of New Orleans,Johnny Horton,Pop,1,0.703,0.776,0.921,177.3,2.53,-11,0.764
1959,2,Mack The Knife,Bobby Darin,Pop,1,0.549,0.529,0.464,82.8,3.07,-12.3,0.76
